episode_index,length_frames,length_seconds
0,2487,82.9
1,1523,50.767
2,2749,91.633
3,2256,75.2
4,2975,99.167
5,1656,55.2
6,1667,55.567
7,1691,56.367
8,1658,55.267
9,1798,59.933
10,1674,55.8
11,1140,38.0
14,1556,51.867
15,1551,51.7
16,1350,45.0
18,1642,54.733
19,1896,63.2
20,1823,60.767
21,2801,93.367
22,2819,93.967
23,3483,116.1
25,2178,72.6
26,1970,65.667
27,2075,69.167
28,2834,94.467
29,1751,58.367
30,2417,80.567
31,1802,60.067
32,3401,113.367
33,2288,76.267
34,2119,70.633
35,2282,76.067
36,1800,60.0
38,1749,58.3
39,2232,74.4
40,1649,54.967
41,1965,65.5
42,1669,55.633
43,1994,66.467
46,3552,118.4
47,1549,51.633
48,1401,46.7
49,1457,48.567
50,1321,44.033
52,1052,35.067
53,1080,36.0
54,1112,37.067
55,2339,77.967
56,2635,87.833
57,2078,69.267
58,2202,73.4
62,3474,115.8
64,1381,46.033
65,1432,47.733
66,1812,60.4
68,1406,46.867
69,1838,61.267
70,1409,46.967
71,2415,80.5
72,1593,53.1
73,1649,54.967
74,3476,115.867
75,3562,118.733
76,1568,52.267
77,1571,52.367
78,1802,60.067
79,1496,49.867
80,1733,57.767
81,1546,51.533
83,1301,43.367
84,1533,51.1
85,1588,52.933
86,1723,57.433
87,1655,55.167
88,1828,60.933
89,2510,83.667
91,3074,102.467
92,2243,74.767
93,2106,70.2
94,2109,70.3
95,3084,102.8
96,1717,57.233
97,1934,64.467
98,2327,77.567
99,1207,40.233
100,1427,47.567
101,2057,68.567
102,3214,107.133
104,1859,61.967
105,1299,43.3
106,2435,81.167
108,1812,60.4
109,1542,51.4
110,1497,49.9
112,1617,53.9
113,1832,61.067
114,1636,54.533
115,1741,58.033
116,2613,87.1
117,1972,65.733
118,1675,55.833
119,1858,61.933
121,3415,113.833
123,1515,50.5
124,1549,51.633
125,1531,51.033
127,2558,85.267
129,2427,80.9
131,1272,42.4
132,1351,45.033
133,1274,42.467
134,1575,52.5
135,1906,63.533
136,1730,57.667
137,1595,53.167
138,2086,69.533
139,1571,52.367
141,2605,86.833
142,1525,50.833
143,1337,44.567
144,1506,50.2
145,1391,46.367
147,3559,118.633
148,3590,119.667
149,1859,61.967
150,2517,83.9
151,1608,53.6
152,1503,50.1
153,1526,50.867
154,1964,65.467
155,3583,119.433
156,1724,57.467
157,1485,49.5
158,1565,52.167
160,3579,119.3
161,1250,41.667
162,2203,73.433
163,2398,79.933
166,2694,89.8
167,1570,52.333
168,2199,73.3
169,1660,55.333
170,1923,64.1
171,1812,60.4
172,1515,50.5
175,3570,119.0
176,2314,77.133
177,1521,50.7
178,1883,62.767
181,3026,100.867
182,2353,78.433
183,1757,58.567
184,1960,65.333
185,1240,41.333
186,1290,43.0
187,1716,57.2
188,2979,99.3
189,2137,71.233
190,1648,54.933
191,1695,56.5
192,1622,54.067
194,1761,58.7
195,1547,51.567
196,1736,57.867
197,2892,96.4
198,1594,53.133
199,1376,45.867
200,2231,74.367
201,3170,105.667
202,1475,49.167
203,1711,57.033
204,2640,88.0
205,2105,70.167
207,1960,65.333
208,2423,80.767
209,2073,69.1
211,1185,39.5
212,1797,59.9
213,1722,57.4
214,1675,55.833
215,1545,51.5
216,1706,56.867
217,1620,54.0
218,2342,78.067
219,1743,58.1
220,1568,52.267
221,1793,59.767
222,1523,50.767
223,1271,42.367
224,2217,73.9
226,2276,75.867
227,1788,59.6
228,2147,71.567
229,3283,109.433
232,1928,64.267
233,2599,86.633
234,1822,60.733
235,1564,52.133
236,1851,61.7
237,1645,54.833
238,1955,65.167
239,1766,58.867
240,1906,63.533
241,1639,54.633
242,1417,47.233
243,1988,66.267
245,3152,105.067
247,1845,61.5
248,1994,66.467
249,1514,50.467
251,1697,56.567
252,1571,52.367
253,1431,47.7
254,1767,58.9
255,1992,66.4
256,2062,68.733
