episode_index,length_frames,length_seconds
0,2733,91.1
1,2664,88.8
2,2715,90.5
3,2715,90.5
4,2654,88.467
5,2798,93.267
6,2913,97.1
7,3086,102.867
8,2891,96.367
9,3266,108.867
10,3096,103.2
11,2849,94.967
12,2988,99.6
13,2873,95.767
14,3443,114.767
15,3497,116.567
16,3546,118.2
17,3448,114.933
18,3567,118.9
19,3543,118.1
20,3299,109.967
25,3555,118.5
32,1634,54.467
33,1441,48.033
34,1620,54.0
35,1619,53.967
36,2648,88.267
37,2994,99.8
38,2587,86.233
39,2999,99.967
40,1693,56.433
41,1661,55.367
42,3150,105.0
43,1920,64.0
44,2998,99.933
45,1899,63.3
46,1893,63.1
47,2973,99.1
48,2152,71.733
49,3591,119.7
50,2877,95.9
51,2260,75.333
53,3299,109.967
54,3106,103.533
55,2393,79.767
56,2923,97.433
60,3268,108.933
61,1495,49.833
64,1777,59.233
66,1801,60.033
67,1862,62.067
68,1896,63.2
69,1927,64.233
70,1948,64.933
71,1663,55.433
72,1900,63.333
73,1819,60.633
74,1833,61.1
75,1665,55.5
76,2347,78.233
77,1876,62.533
78,1876,62.533
79,2391,79.7
80,2408,80.267
81,2060,68.667
82,2748,91.6
83,2475,82.5
84,2014,67.133
85,1956,65.2
86,2091,69.7
87,2901,96.7
88,2232,74.4
89,2936,97.867
90,2226,74.2
91,2560,85.333
92,2906,96.867
93,1805,60.167
94,2039,67.967
95,2341,78.033
96,1902,63.4
97,1773,59.1
98,2428,80.933
99,1874,62.467
100,2725,90.833
101,2231,74.367
102,1713,57.1
103,2558,85.267
104,2234,74.467
105,2049,68.3
106,1932,64.4
107,1847,61.567
108,1660,55.333
109,1764,58.8
110,1888,62.933
111,1636,54.533
112,1930,64.333
113,1717,57.233
114,2164,72.133
115,1564,52.133
116,1600,53.333
117,1671,55.7
118,1391,46.367
119,1830,61.0
120,2294,76.467
121,1468,48.933
122,1885,62.833
123,2973,99.1
124,1776,59.2
125,2380,79.333
126,1394,46.467
127,1398,46.6
128,1604,53.467
129,1576,52.533
130,1665,55.5
131,1719,57.3
132,1352,45.067
133,1982,66.067
134,2040,68.0
135,1402,46.733
136,1485,49.5
137,1396,46.533
138,1440,48.0
139,2128,70.933
140,1501,50.033
141,1650,55.0
142,1858,61.933
143,1413,47.1
144,2314,77.133
145,1727,57.567
146,1873,62.433
147,1853,61.767
148,2394,79.8
149,1760,58.667
150,1455,48.5
151,1828,60.933
152,1401,46.7
153,1369,45.633
154,1897,63.233
155,1506,50.2
156,1752,58.4
157,1596,53.2
158,1716,57.2
159,1737,57.9
160,1688,56.267
161,1697,56.567
162,1899,63.3
163,2003,66.767
164,2133,71.1
165,1887,62.9
166,1523,50.767
167,1869,62.3
168,2046,68.2
169,1607,53.567
170,1932,64.4
171,2342,78.067
172,2086,69.533
173,2302,76.733
174,1696,56.533
175,1475,49.167
176,2061,68.7
177,1642,54.733
178,1728,57.6
179,2011,67.033
180,1876,62.533
181,2193,73.1
182,2116,70.533
